"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"NS_Model - CAR T Cells (2).nlogo"
"unique patches visited+tp_relationship"
"02/12/2026 05:56:58:716 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","c-ratio","total-cells","tp","num-cs","mp","t-ratio","num-ts","[step]","count unique-patches-cs","count unique-patches-ts","mean [count unique-patches-visited] of turtles"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","3","3","3","2.9547738693467336"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","11","10","9","10.512562814070352"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","17","17","17","16.21608040201005"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","13","13","13","12.391959798994975"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","4","4","4","3.9145728643216082"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","12","12","11","11.482412060301508"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","18","18","17","17.175879396984925"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","14","14","14","13.321608040201005"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","19","17","19","18.1356783919598"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","15","15","13","14.291457286432161"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","14","14","12","13.291457286432161"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","13","13","13","12.43718592964824"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","8","7","8","7.603015075376884"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","5","5","5","4.874371859296482"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","14","11","14","13.396984924623116"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","15","15","14","14.261306532663317"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","20","18","19","19.105527638190956"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","16","15","14","15.226130653266331"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","9","9","9","8.537688442211055"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","6","6","6","5.798994974874372"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","15","14","15","14.346733668341708"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","16","11","14","15.21105527638191"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","17","17","16","16.185929648241206"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","21","20","20","20.07035175879397"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","10","10","7","9.477386934673367"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","17","15","15","16.170854271356784"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","16","16","15","15.28140703517588"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","18","14","18","17.150753768844222"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","11","8","11","10.396984924623116"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","22","22","18","21.035175879396984"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","7","7","7","6.748743718592965"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","18","18","18","17.1356783919598"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","19","19","19","18.105527638190956"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","17","16","16","16.251256281407034"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","12","10","12","11.28643216080402"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","23","22","21","21.98994974874372"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","19","18","17","18.115577889447238"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","18","18","17","17.195979899497488"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","13","13","12","12.170854271356784"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","24","22","22","22.939698492462313"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","8","8","8","7.673366834170854"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","19","15","19","18.09547738693467"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","20","20","17","19.07035175879397"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","9","9","9","8.64824120603015"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","14","14","14","13.07035175879397"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","25","25","21","23.86934673366834"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","20","20","19","19.025125628140703"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","21","21","18","20.01005025125628"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","20","19","20","19.065326633165828"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","15","14","14","13.984924623115578"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","26","24","25","24.79396984924623"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","22","22","19","20.974874371859297"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","21","20","17","20"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","21","18","19","19.954773869346734"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","16","16","16","14.884422110552764"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","23","22","23","21.92462311557789"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","22","20","21","20.964824120603016"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","22","18","19","20.87939698492462"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","27","27","26","25.738693467336685"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","10","10","10","9.597989949748744"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","24","22","22","22.849246231155778"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","11","11","11","10.552763819095478"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","23","23","22","21.814070351758794"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","23","21","23","21.889447236180903"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","28","25","24","26.693467336683415"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","17","16","17","15.78894472361809"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","25","24","22","23.758793969849247"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","24","19","22","22.763819095477388"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","24","23","21","22.844221105527637"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","18","18","15","16.718592964824122"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","29","28","27","27.623115577889447"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","26","25","23","24.723618090452263"
